Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"Veď hneď na to prišiel návrh nejakých mediálnych reštrikcií vo vysielaní, aby jednoducho tých fašistov tam bolo viacej vidieť. Hneď na to prišla spolupráca pán Gyimesi s pánom Tarabom z OĽaNO, teda pán Gyimesi z OĽaNO s pánom Tarabom, ktorý prišiel na kandidátke ĽSNS, spolu podávajú návrh zákona.";Pravda;"Krátko po tom, čo minister financií rokoval ohľadom prorodinného balička s predstaviteľom ĽSNS, prišiel aj návrh Igora Matoviča na reguláciu televíznych diskusií. Vzápätí prišiel aj spoločný návrh zákona od poslanca OĽANO Gyimesiho a poslanca Tarabu. Výrok preto hodnotíme ako pravdivý.";;;"Jana Bittó Cigániková";"Sloboda a Solidarita"
"Ja som v strane Smer nikdy nebol členom, to vám môžem povedať.";Neoveritelné;"Šutaj-Eštok bol podľa svojich vlastných slov členom mladých sociálnych demokratov, mládežníckej organizácie Smeru, zhruba od roku 2008. V roku 2015 sa stal jej podpredsedom. V tej dobe bol Šutaj-Eštok už vysokopostaveným úradníkom na ministerstve školstva.
V roku 2016 kandidoval na 137. mieste kandidátky Smeru v parlamentných voľbách. Po nástupe Petra Pellegriniho do funkcie premiéra sa stal v roku 2018 vedúcim úradu vlády. V roku 2020 už kandidoval  z 10. miesta. V rozhovore pre Pravdu z roku 2020 sa o Smere vyjadruje ako o “nás”. 
Z dostupných informácií však nevieme jeho tvrdenie o členstve v strane vyvrátiť ani potvrdiť. Výrok preto hodnotíme ako neoveriteľný. 
Dnes je Šutaj Eštok generálnym manažérom a zakladajúcim členom strany Hlas - SD.";;;"Matúš Šutaj Eštok";Hlas
"To sa podarilo. (...), zníženie závislosti na ruskom plyne o 65 %.";Nepravda;"Minister hospodárstva Richard Sulík 27. mája 2022 informoval o tom, že Slovensko od júna zníži svoju závislosť na ruskom plyne o 65 %. Denník N však upozornil na to, že podpísané zmluvy Slovenského plynárenského priemyslu (SPP) s novými dodávateľmi znížia dovoz ruského plynu o približne tretinu. SPP totiž dodáva plyn 70 % slovenských domácností. Na to, aby klesla závislosť na ruskom plyne výraznejšie, by svoj import museli znížiť aj ďalší dodávatelia. Výrok preto hodnotíme ako nepravdivý. ";;;"Jana Bittó Cigániková";"Sloboda a Solidarita"
"Hlasmi fašistov prešli kandidáti na NKÚ. Pán predseda Andrássy. Ja som zvedavý, ako sa on teda teší z toho, že je zvolený hlasmi fašistov, lebo bez nich by zvolený nebol, aj podpredseda NKÚ boli zvolení hlasmi fašistov.";Pravda;"25. mája 2022 poslanci NR SR zvolili nového predsedu a podpredsedu Najvyššieho kontrolného úradu (NKÚ). Novým predsedom NKÚ sa stal Ľubomír Andrassy a podpredsedom Jozef Ivančo.
Predseda a podpredseda NKÚ sú volení nadpolovičnou väčšinou všetkých prítomných poslancov.
Zo 130 prítomných poslancov za Andrassyho hlasovalo 75 — takmer celý poslanecký klub OĽaNO a Sme rodina. Za kandidatúru Andrassyho hlasovalo aj 15 nezaradených poslancov. Desiati z nich sú bývalí členovia poslaneckého klubu ĽSNS. Koaličné strany SaS a Za ľudí návrh nepodporili.
Z uvedeného vyplýva, že bez desiatich hlasov bývalých členov poslaneckého klubu ĽSNS by sa Andrassy novým šéfom NKÚ nestal. 
Za podpredsedu NKÚ poslanci zvolili Jozefa Ivanča. Zo 130 prítomných poslancov ho podporilo 68 zákonodarcov. Za jeho kandidatúru hlasovali aj dvaja bývalí členovia klubu ĽSNS. 
Výrok hodnotíme ako pravdivý.";;;"Matúš Šutaj Eštok";Hlas
"Ja by som chcela povedať len toľko, že po prvé má pravdu v tom, že je to, je to otázne z hľadiska pravidiel alebo až by som povedala, že nedovoľujú to pravidlá Európskej únie ako také, ale tie dovoľujú výnimky a napr. takouto výnimkou je momentálne Poľsko, ktoré má takúto osempercentnú daň. (pozn. znižovanie sadzby DPH)";Pravda;"Je pravdou, že znížená sadzba DPH na pohonné hmoty je v rozpore s pravidlami EÚ. Zároveň však platí, že Poľsko už tak s tichým súhlasom Bruselu urobilo a znížilo ju na 8%. Výrok preto hodnotíme ako pravdivý.";;;"Jana Bittó Cigániková";"Sloboda a Solidarita"
"Veď v Maďarsku zastropovali ceny na 1,3 (pozn. benzínu).";Pravda;"Maďarská vláda predstavila balíček pomoci prostredníctvom zastrešovania cien základných potravín, či energií a palív. Aktuálne je cena palív zastrešená na 480 forintov, čiže zhruba 1,3 €. Výrok hodnotíme ako pravdivý.";;;"Matúš Šutaj Eštok";Hlas
"Keď nie toto, tak potom spotrebnú daň, ale ani to nechce a to už nie je v žiadnom nesúlade s právom EÚ. (pozn. znižovanie spotrebnej dane).";Pravda;"28. mája 2022 informoval (približne 38:25; neskôr 44:36) poslanec Marián Viskupič v relácií Sobotné dialógy o tom, ako minister financií Igor Matovič zablokoval pozmeňujúci návrh strany Sloboda a Solidarita (SaS) na koaličnej rade k financovaniu opatrení jeho tzv. ‘protiinflačného balíčka’. Pozmeňujúci návrh SaS počítal so znížením sadzby spotrebnej dane na pohonné hmoty ako formu kompenzácie za zdanenie Slovnaftu pre financovanie vládnych, prorodinných opatrení. Takéto zníženie je v súlade s pravidlami EÚ, výrok teda hodnotíme ako pravdivý.";;;"Jana Bittó Cigániková";"Sloboda a Solidarita"
"V krátkosti zareagujem, lebo konštruktívnosť hovorí o tom, že sme predložili do parlamentu 25 návrhov zákona. Nehlasovali ste ani za jeden (pozn. strana SaS).";Pravda;"Strana Hlas-SD od svojho založenia v júni 2020 predstavila 29 návrhov zákonov. Mnohé z nich sa týkali napríklad znižovania cien. V prípade troch zákonov niektorí poslanci zo strany SaS hlasovali za, tieto návrhy však neprešli, výrok preto hodnotíme ako pravdivý.";;;"Matúš Šutaj Eštok";Hlas
"Dôležitá vec je, že Igor Matovič svojimi veľkolepými nápadmi a zakaždým bola SaS-ka proti, jednoducho premrhal už stovky miliónov eur. Minimálne osemsto miliónov na lotériách,na očkovacích bonusoch, na nekonečnom testovaní, všade, všade tam SaS-ka bola proti a Igor Matovič robil strašné haló z toho a robil z nás neviem čo.";Pravda;"Je pravda, že SaS kritizovala alebo nehlasovala za očkovaciu lotériu, očkovací bonus pre dôchodcov a plošné testovanie. Nápady Igora Matoviča naozaj mohli štát vyjsť na viac ako 800 miliónov eur. Výrok preto hodnotíme ako pravdivý.";;0000-00-00;"Jana Bittó Cigániková";"Sloboda a Solidarita"
"No z tých informácií, ktoré sme mali, pani ministerka (Kolíková) bola za pani sudkyňou (Filovou).";Neoveritelné;"O údajnej návšteve ministerky Kolíkovej u predsedkyne disciplinárneho súdu Filovej informoval Šutaj Eštok na svojom Facebookovom profile. Návšteva mala prebehnúť v súvislosti s disciplinárnym konaním voči Danielovi Lipšicovi. Šutaj Eštok označil takéto správanie za lobovanie a predpokladal, že Lipšic vďaka Kolíkovej nebude disciplinárne potrestaný. Lipšic však napokon dostal disciplinárne pokarhanie. 
V súčasnosti sme však nenašli žiadne iné zdroje, ktoré by túto návštevu potvrdzovali či vyvracali. Výrok hodnotíme ako neoveriteľný.";;;"Matúš Šutaj Eštok";Hlas
"Aj touto chcem poďakovať, že rozhodla ako rozhodla, že sa nedala ovplyvniť ministerkou a že rozhodla na základe dôkazov a faktov tak, že Daniel Lipšic bol disciplinárne pokarhaný.";Pravda;"Najvyšší správny súd SR 20.5. v rámci konania voči Danielovi Lipšicovi rozhodol, že sa špeciálny prokurátor dopustil disciplinárneho previnenia. Lipšic je vinný z toho, že sa nezdržal verejného vyslovovania svojho názoru na prípady, ktoré nie sú právoplatne skončené, čo je v rozpore so zákonnou povinnosťou prokurátora. Daniel Lipšic dostal za toto disciplinárne previnenie písomné pokarhanie a má tiež nahradiť trovy konania. Výrok hodnotíme ako pravdivý.";;;"Matúš Šutaj Eštok";Hlas
"Veď to nie je len tak, však tie, však tá Slovnaft akože absolútne poprel akúkoľvek dohodu a bude sa správať podľa trhu.";Pravda;"Riaditeľ Slovnaftu Marek Senkovič poprel, že by Slovnaft Igorovi Matovičovi sľúbil nezvyšovanie cien pohonných hmôt (video, zhruba od 3:10-3:30). Slovnaft po Matovičovom vyhlásení o mimoriadnom zdanení jeho ziskov vyhlásil, že bude svoju cenotvorbu uplatňovať na základe trhových princípov. Výrok hodnotíme ako pravdivý.";;;"Jana Bittó Cigániková";"Sloboda a Solidarita"
"Veď pán Kováčik bol zvolený veľkou väčšinou, bol nominant SDKÚ v roku 2004 a veľkou väčšinou všetkých poslancov bol zvolený. Potom bol volený v parlamente viacerými.";Pravda;"Tento výrok hodnotíme ako pravdivý. Kľúčovou informáciou je, že Kováčika na post špeciálneho prokurátora navrhol nominant SDKÚ Dobroslav Trnka, čím sa jeho osoba prepája so samotnou politickou stranou.";;;"Matúš Šutaj Eštok";Hlas
"Ja osobne, ja osobne som zabránila zákazu interrupcie niekoľkokrát.";Pravda;"Poslankyňa Jana Cigániková skutočne niekoľkokrát zabránila zmene zákona o interrupciách. Návrhy o zmene zákona obsahovali výnimky, na základe ktorých by ženy mohli interrupciu podstúpiť, v iných prípadoch by potrat nebolo možné podstúpiť. Výrok hodnotíme ako pravdivý.";;;"Jana Bittó Cigániková";"Sloboda a Solidarita"
"Nepamätám si na to, aby sme mali možnosť si vypočuť nahrávky alebo si ich prečítať o tom, ako tí elitní vyšetrovatelia hovoria o tom, že ženu treba kopnúť do rozkroku.";Pravda;"Výrok sa týka prepisu legálne získaných odposluchov vyšetrovateľov NAKA. Jána Čurillu, Pavla Ďurku, Milana Sabotu, Štefana Mašina a ďalších. V roku 2021 ich policajná inšpekcia obvinila zo zneužitia právomoci verejného činiteľa. Súd ich následne vzal do väzby. Spolu s nimi bol obvinený aj bývalý šéf policajnej inšpekcie Peter Scholtz.
Veľká časť prepisu sa sústredí na dohadovanie vyšetrovateľov, ako postupovať proti vyšetrovateľke Úradu inšpekčnej služby Diane Santusovej. Vyšetrovatelia mali pripravovať nepodložené stíhanie ďalších ľudí z inšpekcie a SIS. 
Údajným motívom vyšetrovateľov mala byť snaha kryť vlastnú trestnú činnosť. 
V prepise sa vyskytuje množstvo vulgarizmov a vyšetrovatelia hovoria o násilných metódach, ktorými chceli získať informácie o svojej kolegyni Santusovej. Výrok Šutaja Eštoka sa vzťahuje na pasáž, kde sa hovorí: „Že ju (mjr. Mgr. A.T.) ide kopnúť do p*če. Hneď ako to pôjde, že ju ide odstaviť od roboty“ (.pdf, S. 68). Výrok preto hodnotíme ako pravdivý.";;;"Matúš Šutaj Eštok";Hlas
"Ja vám poviem, že ja si nepamätám, že by tu v minulosti bola správa SIS, ktorú vypracovala súčasná vláda na túto vládu, ktorá hovorí o tom, že tu rozvrate, ohrozené demokratické zriadenie Slovenskej republiky.";Zavádzajúce;"Dokument, o ktorom hovorí poslanec Šutaj Eštok predstavuje správu adresovanú poslancom parlamentu od Slovenskej informačnej služby (SIS), ktorej oficiálny obsah unikol na verejnosť koncom mája roku 2021. Jej obsah sa však nedá interpretovať ako ohrozenie demokratického zriadenia Slovenskej republiky, výrok preto hodnotíme ako zavádzajúci.";;;"Matúš Šutaj Eštok";Hlas
"Nezvýšili sa dane, niekoľkokrát my sme zavetovali zvýšenie daní, ľuďom sa nezvýšili za nás dane. Dvestosto eur rodinám sa dalo, skoršie dôchodky sa dali. Prepáčte, mamičkám sa dalo teda dvesto euro, skoršie dôchodky sa dali, zastropovali sa energie…";Pravda;"SaS vetovala zvýšenie daní už pri prvom predstavení Matovičovho nápadu na zvýšenie dávok rodinám. Do ústavy sa dlhodobo snaží presadiť tzv. daňovú brzdu, ktorou by sa zastropovalo celkové daňovo-odvodové zaťaženie. Daňovo-odvodové zaťaženie sa ešte od nástupu vlády v marci 2020 nemenilo.
Od 1. apríla 2021 dostávajú tehotné ženy, ktoré majú nárok na vyplácanie materského príspevku alebo študujú, štipendium vo výške 200 eur. Národná rada v máji v rámci pomoci dôchodcom rozhodla o vyplatení 13. dôchodku už v júli 2022. Na zastropovaní cien energií sa dohodla vláda so Slovenskými elektrárňami ešte vo februári 2022. Výrok preto hodnotíme ako pravdivý.";;;"Jana Bittó Cigániková";"Sloboda a Solidarita"
"Skokové zvýšenie rodičovského príspevku na 370 EUR pre matku, ktorá predtým pracovala, obedy zadarmo pre deti, ktoré ste zrušili, príspevky na, na prváčika.";Pravda;"V septembri 2019, teda počas vlády Petra Pellegriniho, parlament prijal návrh zákona z dielne Smeru o zvýšení rodičovského príspevku pre rodičov, ktorí pred narodením pracovali, na 370 eur. Jednalo sa o jednorazové zvýšenie o zhruba 150 eur oproti pôvodnej sume. Pellegriniho vláda taktiež zaviedla koncom roka 2018 obedy zadarmo pre školákov a škôlkárov. Toto opatrenie však počas vlády Igora Matoviča koalícia zrušila. Počas Pellegriniho vlády Smer presadil aj bonus 100 eur na nákup školských potrieb pre rodičov prvákov.";;;"Peter Pellegrini";Hlas
"Nemyslím si, že to zameranie sa teraz na rodiny teraz s takýmto obrovským balíkom je presne tá správna cesta, nie je to adresné, je to obrovský balík peňazí, a to, že sme o tom nemali riadnu odbornú diskusiu naprieč smerom o tom, čo je sociálna politika, čo je teraz potrebné, ale aj ekonomicky čo zvládneme ako krajina, je hrubou chybou tejto vlády.";Pravda;"O prijatí balíčka protiinflačných opatrení sa rozhoduje v skrátenom legislatívnom konaní, ktoré by využíva pri mimoriadnych situáciách. Za skrátené legislatívne konanie hlasovalo 83 zo 134 prítomných poslancov. Balík pomoci pre rodiny známy ako balíček protiinflačných opatrení minulý týždeň schválený vládou posunuli poslanci parlamentu do druhého čítania. Ozývajú sa však ohlasy, že návrh schválila vláda bez odbornej diskusie v zrýchlenom legislatívnom konaní. Minister hospodárstva Richard Sulík (SaS) navrhol stiahnuť z rokovania protiinflačnú pomoc a nechať návrh prejsť riadnym legislatívnym procesom s podstivou prípravou. ";;;"Mária Kolíková";"Bez príslušnosti"
"Balík, ktorý nakoniec aj predkladal minister práce, sociálnych vecí a rodiny, jednoznačne podporujeme. To je balík za približne 133 miliónov, ktorý bol hneď ako promptný balík, ktorý sme boli pripravení okamžite podporiť.";Pravda;"Začiatkom apríla minister práce, sociálnych vecí a rodiny Milan Krajniak predstavil balík jednorazovej pomoci s rastúcou infláciou. Išlo o jednorazové 100-eurové príspevky zraniteľným častiam obyvateľstva, ktoré podľa jeho slov mali stáť približne 133 miliónov eur.

Táto jednorazová pomoc sa nakoniec stala súčasťou väčšieho balíka pomoci rodinám. Jej konečná cenovka bude podľa Krajniaka 108 miliónov eur.

Strana SaS vystupuje proti balíku prorodinnej pomoci za viac ako miliardu eur, verejne však podporuje jednorazovú pomoc za 133 miliónov ministra práce Krajniaka.

Výrok hodnotíme ako pravdivý.";;;"Mária Kolíková";"Bez príslušnosti"
"100 EUR na dieťa alebo 50-eurový prídavok to bude od 1. januára budúceho roku.";Pravda;"Návrh Igora Matoviča na pomoc rodinám schválila vláda, 25. mája 2022 prešiel parlamentom, ktorý o ňom rokoval v skrátenom legislatívnom konaní. Zákon zatiaľ nepodpísala prezidentka. Okrem finančnej podpory voľnočasových aktivít detí návrh počíta so zvyšovaním daňového bonusu a prídavku na dieťa v dvoch fázach. Prídavok na dieťa by sa mal zvýši od júla 2022 na 30 eur, od 1. januára 2023 na 50 eur. Daňový bonus pre deti do 15 rokov Matovič navrhuje zvýšiť tento rok na 70 eur, od januára na 100 eur.";;;"Peter Pellegrini";Hlas
"My od jesene minulého roku, resp. od pred Vianoc vyzývame vládu, že nech niečo robí s tými cenami, ktoré extrémne raketovo rastú, ani do vojny sa im nič nepodarilo urobiť na rozdiel od Čiech, Poliakov a Rakúšanov a ostatných, po vojne sa tie veci ešte zhoršili, pretože tam ten nárast cien, nedostatok tovarov je ešte väčší. Pozrite sa, máj, koniec mája, nemáme zatiaľ žiadnu pomoc a zatiaľ vláda pre jednorazovú pomoc tú, čo sa má tento rok udiať, vyčlenila asi 100 000 000, to je 75 EUR doplatok k rodinnému prídavku pre deti nezaopatrené a 100 EUR pre pár desiatok tisíc ľudí v hmotnej núdzi a pár desiatok tisíc dôchodcov, čo nemajú nárok na dôchodok.";Pravda;"Je pravdou, že napriek výzvam opozície vrátane Hlasu vláda prijala protiinflačnú pomoc obyvateľstvu neskôr než okolité štáty. Okrem trvalej pomoci rodinám, vláda plánuje rozdať 105 miliónov eur jednorazovej pomoci. Výrok hodnotíme ako pravdivý.";;;"Peter Pellegrini";Hlas
